#星辰双拼专用简码（由 abbrev.txt 按星辰声母键重映射）
gu	感觉\t根据\t关键
uk	简单\t觉得\t绝对
rj	可以\t开业\t科研
mj	没有\t美元\t免疫
vu	自己\t最近\t资金
zk	啊对\t阿杜\t挨打\t额度\t耳朵\t而当
zu	安静\t按键\t案件\t耳机\t二级
zp	安排\t爱普\t阿婆\t恶评\t耳屏
zy	安全\t爱情\t按期\t而且\t二期\t恩情
zl	艾特\t奥体\t凹凸\t儿童\t额头\t二套
ze	按照\t安装\t澳洲\t而这\t二战\t二者
zj	哎呀\t哎呦\t阿姨\t而已\t而言\t鳄鱼\t偶遇
nn	并不\t不必\t宝贝
nk	不但\t报道\t不到
np	不怕\t被迫\t奔跑
ny	并且\t表情\t版权
na	不如\t别人\t比如
nd	不是\t表示\t不少
nl	不同\t拜托\t不太
ne	帮助\t不止\t标准\t波折
nw	并未\t本文\t把握
ck	菜单
sk	承担\t程度\t传导\t垂钓
cm	聪明\t层面\t村民
co	才能
so	处女\t承诺\t常年\t车内
cy	从前\t此前\t采取
cl	从头\t辞退
sl	传统\t冲突\t春天
cw	错误\t从未\t财务
ch	才行\t操心
sh	程序\t出现\t撤销
cj	参与\t采用
sj	产业\t持有\t创意\t穿越
cv	存在\t操作
sv	创造\t创作\t车子
kk	得到\t到底\t等待
kx	地方\t对方\t对付
ko	电脑\t都能\t当年
kl	动态\t地铁\t代替
zn	而不\t耳边\t二本\t啊不\t安保\t阿爸
zc	二次\t恩赐\t艾草\t凹槽\t按错\t二层
zx	二分\t而非\t耳房\t安抚\t安防\t暗访
zf	而后\t诶嘿\t恶化\t爱好\t啊哈\t懊悔
zr	而况\t儿科\t耳科\t安康\t拗口\t按克
zi	而来\t二楼\t恶劣\t案例\t安利\t阿拉
zt	二三\t耳塞\t饿死\t阿三\t暗算\t懊丧
zd	而是\t二手\t恩师\t暗示\t按时\t傲视
zw	额外\t而我\t俄乌\t安慰\t安稳\t爱玩
zh	恶心\t儿媳\t儿戏\t安心\t爱心\t爱惜
zv	儿子\t恩泽\t二组\t案子\t暗自\t矮子
xc	讽刺\t风采\t发财
xk	反对\t非但\t辅导
xz	反而\t份额\t飞蛾\t方案\t法案\t翻案
xs	非常\t分成\t发出
xr	疯狂\t分开\t飞快
xi	分离\t服了\t分类
xm	方面\t发明\t繁忙
xo	烦恼\t肥牛\t愤怒
xp	分配\t发票\t肥胖
xy	放弃\t夫妻\t风情
xa	否认\t烦人\t凡人
xt	发送\t放松\t反思
xl	发帖\t法庭\t繁体
xe	反正\t分钟\t反之
xw	范围\t氛围\t服务
xh	发现\t分析\t分享
xj	反应\t翻译\t反映
gc	刚才\t光彩
gs	工厂\t过程\t观察\t给出
gm	干嘛\t购买\t感冒
go	功能\t观念\t过年
gy	过去\t歌曲\t过期
gl	共同\t沟通\t高铁
gh	关系\t更新\t共享
fc	何曾\t缓存\t很惨
fs	合成\t何尝\t好吃
fm	还没\t后面\t好吗
fo	还能\t很难\t湖南
fy	好奇\t回去\t获取
fl	话题\t后天\t合同
fh	好像\t好想\t还行
sc	尺寸\t纯粹\t出错
sm	沉默\t重码\t充满
sy	重启\t出去\t重庆
sw	成为\t称为\t宠物
uz	骄傲\t煎熬\t教案\t进而\t金额\t奇偶\t解耦
un	基本\t句柄\t脚本
ud	就是\t军师\t结束
ux	积分\t减肥\t缴费
ug	结果\t结构\t价格
uf	几乎\t计划\t机会
uu	解决\t渐渐\t拒绝\t简洁\t见解
