#星辰双拼专用成语简码（由 chengyu.txt 按星辰声母键重映射）
zzny	傲岸不群
zznh	皑皑白雪
zzsy	暗暗称奇
zzkn	嗷嗷待哺
zzxx	安安分分
zzxm	哀哀父母
zzuu	安安静静
zzpp	矮矮胖胖
zzyk	暗暗祈祷
zzyy	安安全全
zzww	安安稳稳
zzhh	安安心心
zzju	哀哀欲绝
zzjj	安安逸逸\t峨峨洋洋
zzva	昂昂自若
zzvd	暗暗咂舌
znzy	安不安全
znzj	安不安逸
znnn	哀兵必败
znnk	按兵不动
znnu	按兵不举
znnd	哀兵必胜
znks	安步当车
znkg	安邦定国
znkj	阿鼻地狱
zngy	熬不过去
znfv	阿布哈兹
znun	按部就班\t按步就班
znre	傲不可长\t敖不可长
znir	爱别离苦
znim	鞍不离马
znad	爱不忍释
znav	爱兵如子
zndu	按兵束甲\t案兵束甲
zndd	爱不释手
znen	阿布扎比
zneg	安邦治国
znef	阿布扎哈
znww	安不忘危
zssd	安常处顺
zska	暗锤打人
zsgk	熬肠刮肚
zsid	安常履顺
zspi	安车蒲轮
zcys	昂藏七尺
zcar	爱才若渴\t爱才如渴
zcam	爱财如命\t爱才如命
zsdx	安常守分
zsdg	安常守故
zcdu	暗藏杀机
zshg	安常习故
zchu	暗藏玄机
zshj	暗潮汹涌
zkni	爱答不理
zksc	暗度陈仓\t暗渡陈仓
zkue	暗度金针
zkih	案牍劳形
zkij	澳大利亚\t安堵乐业
zkme	暗斗明争
zkag	安堵如故\t按堵如故
zkdz	挨冻受饿
zklu	安定团结
zkwg	暗淡无光\t黯淡无光
zkwo	安度晚年
zkjt	爱得要死\t饿得要死
zkjh	安定有序
zkei	案牍之劳
zzno	奥尔巴尼
zznt	阿尔卑斯
zznd	哀而不伤
zzuz	阿尔及尔
zxzx	安抚安抚
zxux	挨风缉缝\t捱风缉缝
zxis	鳌愤龙愁
zxdu	安分守己\t安份守己
zxdj	安分守已
zxev	安分知足
zxhs	案发现场
zxhp	安富恤贫\t爱富嫌贫
zxhy	安富恤穷
zxva	安富尊荣
zgzm	阿哥阿妹\t阿狗阿猫
zgzw	阿姑阿翁
zuzw	阿家阿翁
zgnx	哀告宾服
zgxm	安国富民
zguj	爱岗敬业
zgii	傲骨嶙嶙
zgou	安国宁家
zgau	爱国如家
zgad	爱国人士
zgtl	奥古斯塔
zgdj	熬更守夜
zglk	哀感天地
zgee	阿甘正传
zgeh	爱国之心
zgej	爱国主义
zgwj	哀感顽艳
zgen	岸谷之变
zgeo	哀感中年
zgey	安故重迁
zfnk	哀鸿遍地
zfnj	哀鸿遍野
zfkp	安魂定魄
zfgi	哀毁骨立
zfuu	爱恨交加
zfui	哀毁瘠立
zfue	爱恨交织
zfde	爱鹤失众
zfwu	懊悔无及
zfhs	黯晦消沉
zuzf	挨家挨户\t而今而后
zuzu	安静安静
zunv	挨肩并足
zucn	挨肩擦背\t挨肩擦膀
zuci	挨肩擦脸
zusm	案剑瞋目
zukn	挨肩搭背\t挨肩迭背\t挨肩叠背
zuuw	阿娇金屋
zuif	安家落户
zuij	安家立业\t安居乐业\t安家乐业
zumk	阿基米德
zumy	暗箭明枪
zuox	暗箭难防
zuyn	按甲寝兵
zuda	暗箭伤人
zuej	安家置业
zuhn	按甲休兵\t案甲休兵
zuhc	熬姜呷醋
zuhl	暗礁险滩
zuhv	按迹循踪
zuea	暗箭中人
zrnr	爱看不看
zrdk	熬枯受淡
zrdh	碍口识羞
zinn	阿里巴巴
zini	爱理不理
zisn	安良除暴
zicj	爱礼存羊
zikv	鳌里夺尊
zixp	按劳分配
zifd	安老怀少
ziid	按理来说
zipr	奥林匹克
zipj	奥林匹亚
ziys	按劳取酬
zitu	阿拉斯加
zihf	暗绿稀红
zijk	暗流涌动
zied	哀梨蒸食
zmzg	阿猫阿狗
zmzf	挨门挨户
zmzm	按摩按摩
zmnm	暧昧不明\t二门不迈\t耳满鼻满
zmnh	傲慢不逊
zmnj	鳌鸣鳖应\t遏密八音
zmkj	安眉带眼
zmxy	爱毛反裘
zmgd	安民告示
zmik	鞍马劳顿
zmiu	鞍马劳倦
zmir	鞍马劳困
zmid	鞍马劳神
zmoe	爱莫能助
zmav	爱民如子
zmdi	傲慢少礼
zmef	挨门逐户
zmeh	爱美之心
zmwi	傲慢无礼
zmwy	奥妙无穷
zmha	爱慕虚荣
zmei	鞍马之劳
zmey	暧昧之情
zmvd	按名责实
zmed	暗昧之事
zmee	爱莫之助\t恶名昭彰\t耳目昭彰
zone	按捺不住
zonj	懊恼不已
zocm	碍难从命
zoke	傲睨得志
zoaw	安内攘外
zoww	傲睨万物
