# codex 符号 tips（AI翻译）
# 格式: 符号：char<TAB>中文
符号：⁠	无断行连接符
符号：‍	零宽连接符
符号：‌	零宽非连接符
符号：​	零宽空格
符号：‎	左到右标记
符号：‏	右到左标记
符号： 	空格
符号： 	不换行空格
符号： 	窄不换行空格
符号： 	全方空格
符号： 	半角空格
符号： 	三分之一空格
符号： 	四分之一空格
符号： 	六分之一空格
符号： 	中空格
符号： 	数字空格
符号： 	标点空格
符号： 	细空格
符号： 	发际空格
符号：(	左括号
符号：⟮	左扁平括号
符号：⦇	左闭合括号
符号：⦅	左空心括号
符号：)	右括号
符号：⟯	右扁平括号
符号：⦈	右闭合括号
符号：⦆	右空心括号
符号：⏜	上括号
符号：⏝	下括号
符号：{	左大括号
符号：⦃	左空心大括号
符号：}	右大括号
符号：⦄	右空心大括号
符号：⏞	上大括号
符号：⏟	下大括号
符号：[	左方括号
符号：⦍	左上刻方括号
符号：⦏	左下刻方括号
符号：⟦	左空心方括号
符号：]	右方括号
符号：⦐	右上刻方括号
符号：⦎	右下刻方括号
符号：⟧	右空心方括号
符号：⎴	上方括号
符号：⎵	下方括号
符号：❲	左壳括号
符号：⟬	左空心壳括号
符号：⦗	左实心壳括号
符号：❳	右壳括号
符号：⟭	右空心壳括号
符号：⦘	右实心壳括号
符号：⏠	上壳括号
符号：⏡	下壳括号
符号：⟅	左袋括号
符号：⟆	右袋括号
符号：⎰	左胡须括号
符号：⎱	右胡须括号
符号：|	竖杠
符号：‖	双线竖杠
符号：⦀	三线竖杠
符号：¦	断竖杠
符号：⦶	带圈竖杠
符号：―	横杠
符号：⧘	左栅栏
符号：⧚	左双线栅栏
符号：⧙	右栅栏
符号：⧛	右双线栅栏
符号：⦙	点状栅栏
符号：⟨	左尖括号
符号：⧼	左花体尖括号
符号：⦑	左点尖括号
符号：⦉	左闭合尖括号
符号：⟪	左双线尖括号
符号：⟩	右尖括号
符号：⧽	右花体尖括号
符号：⦒	右点尖括号
符号：⦊	右闭合尖括号
符号：⟫	右双线尖括号
符号：⌈	左上取整括号
符号：⌉	右上取整括号
符号：⌊	左下取整括号
符号：⌋	右下取整括号
符号：⌜	左上角括号
符号：⌞	左下角括号
符号：⌝	右上角括号
符号：⌟	右下角括号
符号：&	与号
符号：⅋	倒置与号
符号：∗	运算符星号
符号：⊛	带圈运算符星号
符号：*︎	基本星号
符号：⁎	低位星号
符号：⁑	双线星号
符号：⁂	三线星号
符号：⧆	方形星号
符号：\	反斜杠
符号：⦸	带圈反斜杠
符号：⧷	否定反斜杠
符号：℅	转交符号
符号：:	冒号
符号：₡	货币冒号
符号：∷	双线冒号
符号：⁝	三线冒号
符号：⫶	三线运算符冒号
符号：≔	等号冒号
符号：⩴	双线等号冒号
